,EPIC,KIC,WDS,period,sb9_id,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_obs_al,tgas_astrometric_primary_flag,tgas_astrometric_priors_used,tgas_astrometric_relegation_factor,tgas_astrometric_weight_ac,tgas_astrometric_weight_al,tgas_b,tgas_dec,tgas_dec_error,tgas_dec_parallax_corr,tgas_dec_pmdec_corr,tgas_dec_pmra_corr,tgas_duplicated_source,tgas_ecl_lat,tgas_ecl_lon,tgas_hip,tgas_l,tgas_match_distance,tgas_matched_observations,tgas_parallax,tgas_parallax_error,tgas_parallax_pmdec_corr,tgas_parallax_pmra_corr,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_g_n_obs,tgas_phot_variable_flag,tgas_pmdec,tgas_pmdec_error,tgas_pmra,tgas_pmra_error,tgas_pmra_pmdec_corr,tgas_ra,tgas_ra_dec_corr,tgas_ra_error,tgas_ra_parallax_corr,tgas_ra_pmdec_corr,tgas_ra_pmra_corr,tgas_random_index,tgas_ref_epoch,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_solution_id,tgas_source_id,tgas_tycho2_id,binary_type
0,,10417986.0,,0.0737309,,,0.501790667551,226.730959878,2,3,82,81,84,84,True,5,4.96512937546,1.70956900547e-05,3.84673285484,11.0817636527,47.5438160883,0.248411572711,0.788841187954,-0.477994650602,-0.366773039103,False,66.4466932814,319.490367033,-2147483648,81.0390520144,3.51145246754e-05,14,3.58685634538,0.296720837294,-0.379411011934,-0.465524375439,3990913.79153,2775.61423019,9.02208919732,99,NOT_AVAILABLE,1.32741094501,0.640701637156,14.4772650736,0.725711934378,-0.0835947021842,296.74883975,-0.243246540427,0.193009400937,-0.196779221296,0.0603795163333,-0.223231628537,227265,2015.0,-99.0436019897,26.1918468475,22.0804233551,-9.42811870575,0.291428476572,0.303731143475,0.236440941691,0.312191575766,1635378410781933568,2086579087597378816,3561-1547-1 ,EB
1,,8912468.0,,0.094838,,,0.447360649722,154.467502573,7,0,73,80,80,80,True,5,4.44966936111,2.92363201879e-05,4.86746120453,7.88804200912,45.167941237,0.329452635154,0.858084976673,-0.794102907181,-0.627003073692,False,63.2839828241,321.892955624,-2147483648,80.1095419385,2.27850081766e-05,13,1.55112632483,0.377842479637,-0.617533922195,-0.757370114326,358669.753526,171.274479605,11.638033178,106,NOT_AVAILABLE,4.4409805241,1.19907039179,6.1137349015,1.23588884445,0.482626825571,300.115633948,-0.0369798094034,0.187795944146,0.0151316095144,0.0391405448318,-0.520578086376,578259,2015.0,-145.172683716,-79.587310791,5.11027002335,7.50859880447,0.28395113349,0.139293149114,0.0703256577253,0.543028891087,1635378410781933568,2082167091036642304,3558-2291-1 ,EB
2,,9612468.0,,0.1334715,,,0.528262483183,205.981242744,2,0,68,70,70,70,True,5,5.21669387817,3.28602945956e-05,3.34752583504,8.52832085458,46.2622860583,0.670346915546,0.122746631503,-0.950579285622,-0.709959030151,False,64.3026928033,322.82267753,-2147483648,81.0111521346,8.42744644566e-05,10,1.02820859837,0.360049941398,-0.0700250193477,-0.637054562569,439676.862781,345.336825673,11.4169360332,81,NOT_AVAILABLE,-8.44969925239,2.73909341932,-2.81214857915,1.75031624623,0.663410604,299.982126518,0.854164481163,0.365364632012,0.06399127841,-0.846228301525,-0.737290978432,1236432,2015.0,-129.688064575,-80.0378112793,-41.7532234192,20.6837654114,0.376911342144,0.383051335812,0.177516594529,0.563265919685,1635378410781933568,2085378249101155584,3558-1803-1 ,EB
3,,9898401.0,,0.1527742,,,0.580741659076,283.549339881,8,0,96,104,104,104,True,5,5.71672439575,2.67331870418e-05,2.85458612442,11.8373817904,46.7041594024,0.270750317845,0.709231495857,-0.35628965497,-0.675152599812,False,66.2483218287,315.673693449,-2147483648,79.665472141,3.85655771577e-05,17,1.37826473756,0.347573427776,-0.0197657961398,-0.879106640816,270501.391136,73.6412288022,11.9443463065,125,NOT_AVAILABLE,-3.54689086583,0.846469219649,-2.77315291771,1.48054937569,-0.118566758931,294.844824925,0.478283971548,0.170185922545,0.511148989201,-0.210103228688,-0.566305994987,95424,2015.0,-98.5257873535,86.6964950562,40.3188018799,10.7297649384,0.374843090773,0.189234033227,0.223341614008,0.158601805568,1635378410781933568,2128516247789705344,3556-3232-1 ,EB
4,,7375612.0,,0.1600729,,,0.598259589659,206.901272388,9,0,95,104,104,104,True,5,5.88396644592,2.57045194303e-05,2.72925710678,9.69026244029,42.9278595366,0.26797149964,0.754969060421,-0.59900444746,-0.746747076511,False,62.6021292126,313.172418603,-2147483648,76.4714125198,3.09077826018e-05,16,1.34340851241,0.359002325159,-0.425204008818,-0.876956760883,268042.674146,3176.32864147,11.9542602087,128,NOT_AVAILABLE,-3.43484518025,1.15313997173,-3.16280625744,1.49240886561,0.523303329945,295.466959503,0.585763990879,0.198562350009,0.563678205013,-0.454205304384,-0.710733175278,315597,2015.0,-101.164535522,-64.6971206665,25.4675712585,5.43123960495,0.268499016762,0.194603830576,0.0623852647841,0.448966264725,1635378410781933568,2078007604184884096,3144-920-1  ,EB
5,,5872696.0,,0.1726132,,,0.628221547185,170.635427089,6,0,73,79,79,79,True,5,6.17033195496,3.23003514495e-05,2.50468993187,12.128062223,41.1856224427,0.301374590655,0.627890527248,-0.163405194879,-0.656521379948,False,62.1762228502,304.55526281,-2147483648,73.2243509382,4.94726984475e-05,13,0.716410260105,0.398703390506,0.212644293904,-0.875023782253,256054.421939,143.33716923,12.0039393631,91,NOT_AVAILABLE,-5.07930890112,1.00508983646,2.88906895743,1.9415191126,-0.373108834028,290.596247045,0.330474436283,0.174152108749,0.251124352217,-0.293503433466,-0.26397678256,974150,2015.0,-85.8096389771,81.2862014771,35.8181228638,7.06280899048,0.492087483406,0.188420727849,0.337301701307,0.0976710692048,1635378410781933568,2101594499423438336,3138-1065-1 ,EB
6,,7767774.0,,0.1733883,,,0.516128384257,168.691524526,6,0,92,98,98,98,True,5,5.10132026672,2.18591667362e-05,3.63531708717,9.30397627212,43.4747416253,0.580007278319,0.966498434544,-0.817108869553,-0.967748045921,False,62.8281018446,315.111897182,-2147483648,77.3149915437,3.65945798996e-05,17,1.2222283183,0.827731824346,-0.748932480812,-0.988490760326,181047.598964,51.0039945962,12.3802881398,133,NOT_AVAILABLE,-6.85478928418,1.19638984441,-6.92689291611,5.10603527149,0.739043176174,296.477289471,0.874553740025,0.23526328511,0.880803108215,-0.761197209358,-0.884686946869,2041913,2015.0,-108.32585144,72.4530792236,35.6848487854,3.13828802109,0.634860336781,0.13111962378,0.169166386127,0.154557213187,1635378410781933568,2078789906708087808,3148-1212-1 ,EB
7,,10684673.0,,0.1925563,,,0.49921349087,578.121810592,4,1,88,91,92,92,True,5,4.94066572189,3.65079504263e-05,3.71167612076,10.3014233529,47.9742333305,0.278943264261,0.784401059151,-0.470930755138,-0.703840255737,False,66.3103625606,322.48424959,-2147483648,81.9764587533,3.47493358374e-05,16,1.21589096131,0.344320210293,-0.209015488625,-0.836351454258,654145.503127,2506.12233585,10.9855841633,117,NOT_AVAILABLE,0.0594306166613,1.11967474333,-0.820432692922,1.30579312878,0.36828109622,298.426679012,0.504916012287,0.177570847592,0.559802055359,-0.213549435139,-0.712918758392,242850,2015.0,-122.251747131,-74.6386184692,26.048286438,6.80607366562,0.29552000761,0.244515314698,0.0689766258001,0.41401129961,1635378410781933568,2086474427834313344,3562-805-1  ,EB
8,,6699679.0,,0.2012033,,,0.48293572891,166.35101629,8,0,88,96,96,96,True,5,4.78627252579,2.85396272375e-05,4.12256765366,10.2254531844,42.1615416304,0.283082653279,0.690788924694,-0.73306208849,-0.661320626736,False,62.2512477893,310.539553177,-2147483648,75.3041800124,4.20235442174e-05,17,1.43966070422,0.319820030491,-0.431448161602,-0.857311367989,262054.662635,966.513113837,11.9787903355,130,NOT_AVAILABLE,-6.57946393863,1.23916399943,-5.2931720308,1.27884368605,0.49460169673,294.095508588,0.41175621748,0.163440639747,0.472495496273,-0.338701665401,-0.679081857204,33145,2015.0,-128.135650635,-86.7581253052,15.442358017,-0.708328843117,0.363737076521,0.250405818224,0.144976720214,0.371983140707,1635378410781933568,2077531378213755264,3143-1777-1 ,EB
9,,6287172.0,,0.2038732,,,0.633247163323,197.384387186,8,0,89,97,97,97,True,5,6.21840190887,1.61367024702e-05,2.41574692726,11.0417806589,41.6291272146,0.293133339889,0.672588467598,-0.585072994232,-0.676005363464,False,62.1510300885,307.754957088,-2147483648,74.2716086117,4.21513819179e-05,15,1.31458979874,0.378242480042,-0.449248045683,-0.883953630924,151727.874884,53.9355048403,12.5721066261,113,NOT_AVAILABLE,-7.50945649241,1.45139113868,-6.94596028466,1.53477511678,0.542928755283,292.498651374,0.515236854553,0.188583479153,0.593805730343,-0.459452867508,-0.717639148235,23377,2015.0,-104.171195984,-86.3391723633,8.87779712677,3.34504127502,0.378957659006,0.399550497532,0.145909190178,0.319338679314,1635378410781933568,2053639231061556736,3142-957-1  ,EB
