##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Aug. 9, 2016, 10:12 a.m.
## Download Date (Y/M/D): 2016/10/17
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-1&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;camp&quot;,&quot;pteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;flags&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;cteff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;ra&quot;:{&quot;max&quot;:360.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
EPIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,
211931594,K2C5,-1,1,0.1600538,0.0000056,2457142.548020,0.005315,0.3230,-1.0000,0.1822,-1.0000,1.0000,0.60,123.2370,19.1994,-1.0000,-1.0000,16.2000,-1.0000,-1.0000,-1.0000,False,
60017812,K2E,-1,1,0.1985819,0.0002376,54999.886889,0.013669,0.1203,0.1103,0.2510,0.2168,0.4975,0.95,4.1710,-0.1570,-1.0000,-1.0000,16.3880,-1.0000,-1.0000,-1.0000,False,
201734988,K2C1,-1,1,0.2276534,0.0000083,1972.784808,0.009954,0.0230,0.0091,0.1617,0.1647,0.4995,0.67,175.1376,4.2336,-1.0000,-1.0000,13.5740,-1.0000,-1.0000,-1.0000,False,
201927024,K2C1,-1,1,0.2373004,0.0000087,1977.017991,0.019199,0.2482,0.1706,0.2343,0.3098,0.5297,0.86,173.0358,7.9107,-1.0000,-1.0000,16.5970,-1.0000,-1.0000,-1.0000,False,
211848129,K2C5,-1,1,0.2392412,0.0000100,2457139.765650,0.015371,0.2794,0.2350,0.1289,0.1365,0.5007,0.79,127.0176,17.9920,-1.0000,-1.0000,13.0710,-1.0000,-1.0000,-1.0000,False,
201803365,K2C1,-1,1,0.2458867,0.0000092,1975.294272,0.012323,0.3662,0.2728,0.1329,0.1160,0.4920,0.78,169.0968,5.4290,-1.0000,-1.0000,14.7260,-1.0000,-1.0000,-1.0000,False,
60017887,K2E,-1,1,0.2472318,0.0003296,54999.118573,0.035062,0.0134,0.0086,0.2325,0.1468,0.4419,0.89,352.5317,1.4343,-1.0000,-1.0000,10.5100,-1.0000,-1.0000,-1.0000,False,
211489847,K2C5,-1,1,0.2490848,0.0000105,2457139.822530,0.014848,0.1021,0.0961,0.1911,0.2694,0.5141,0.91,123.6969,12.9929,-1.0000,-1.0000,17.1640,-1.0000,-1.0000,-1.0000,False,
211962644,K2C5,-1,1,0.2510322,-1,54833.117204,0.011911,0.1942,0.1587,0.0905,0.1950,0.5042,0.78,123.6853,19.6658,-1.0000,-1.0000,15.0060,-1.0000,-1.0000,-1.0000,False,
212000980,K2C5,-1,1,0.2544548,0.0000109,2457139.832710,0.013056,0.1158,0.0850,0.2901,0.2216,0.4987,0.89,130.1737,20.2701,-1.0000,-1.0000,16.2320,-1.0000,-1.0000,-1.0000,False,
60018243,K2E,-1,1,0.2562388,0.0003488,55000.292638,0.019063,0.2677,0.2125,0.1036,0.1645,0.4976,0.78,359.7500,-9.5267,-1.0000,-1.0000,13.3300,-1.0000,-1.0000,-1.0000,False,
211973404,K2C5,-1,1,0.2597868,0.0000112,2457140.008310,0.013603,0.4005,0.3896,0.1805,0.1578,0.5013,0.76,127.8082,19.8310,-1.0000,-1.0000,15.8400,-1.0000,-1.0000,-1.0000,False,
211350898,K2C5,-1,1,0.2610276,0.0000113,2457139.989560,0.015421,0.0871,0.0729,0.2357,0.2467,0.5338,0.89,131.0168,10.8306,-1.0000,-1.0000,13.9540,-1.0000,-1.0000,-1.0000,False,
60017810,K2E,-1,1,0.2615291,0.0003488,55000.062540,0.016558,0.4096,0.3625,0.2198,0.0633,0.5009,0.81,1.1576,3.5503,-1.0000,-1.0000,14.5300,-1.0000,-1.0000,-1.0000,False,
211988016,K2C5,-1,1,0.2676569,0.0000117,2457139.764210,0.012884,0.3924,0.3519,0.1621,0.0635,0.5052,0.74,133.9646,20.0607,-1.0000,-1.0000,12.4140,-1.0000,-1.0000,-1.0000,False,
211405917,K2C5,-1,1,0.2686799,0.0000118,2457140.243480,0.015065,0.2812,0.2488,0.1611,0.0883,0.4994,0.76,133.4539,11.7315,-1.0000,-1.0000,16.6640,-1.0000,-1.0000,-1.0000,False,
211586554,K2C5,-1,1,0.2698183,0.0000119,2457139.982760,0.013863,0.4153,0.4615,0.1684,0.1582,0.5021,0.74,135.0822,14.3579,-1.0000,-1.0000,12.7710,-1.0000,-1.0000,-1.0000,False,
212120135,K2C5,-1,1,0.2719393,0.0000120,2457139.946590,0.014200,0.2349,0.1893,0.1482,0.1549,0.4972,0.76,130.5227,22.4186,-1.0000,-1.0000,14.1210,-1.0000,-1.0000,-1.0000,False,
211524558,K2C5,-1,1,0.2734961,0.0000120,2457139.887070,0.013729,0.4619,0.3945,0.1661,0.1251,0.4996,0.73,136.0498,13.4856,-1.0000,-1.0000,14.1610,-1.0000,-1.0000,-1.0000,False,
201517854,K2C1,-1,1,0.2796855,0.0000111,1974.950878,0.016007,0.0494,0.0411,0.2503,0.2354,0.4745,0.95,175.8189,0.7976,-1.0000,-1.0000,14.5700,-1.0000,-1.0000,-1.0000,False,
201386961,K2C1,-1,1,0.2818117,0.0000112,1991.763178,0.069827,0.0256,0.0386,0.2478,0.2329,0.4911,0.88,173.2293,-1.1574,-1.0000,-1.0000,12.3970,-1.0000,-1.0000,-1.0000,False,
