,EPIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,Unnamed: 23,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
6,60017887,K2E,-1,1,0.2472318,0.0003296,54999.118573,0.035062,0.0134,0.0086,0.2325,0.1468,0.4419,0.89,352.5317,1.4343,-1.0,-1.0,10.51,-1.0,-1.0,-1.0,False,,-2147483648,585-897-1  ,1635378410781933568,2645559151208432640,665345,2015.0,352.531692097,0.252453341693,1.43395261961,0.110426354982,11.9051671252,0.451259060536,6.54557928005,1.45372706189,-92.2125625415,0.616353000556,0.755473256111,0.874782264233,-0.849625170231,-0.864318847656,0.711997270584,-0.756003022194,-0.737790226936,-0.939369320869,-0.909498035908,0.886294662952,97,97,94,95,3,2,,0.319059764113,149.839561448,True,3.25001597404,8.34524059296,2.47866883001e-05,5,11,True,0.143901452422,0.518786847591,0.232219815254,0.237494379282,-62.5628471375,-17.7746276855,-50.0677070618,20.9645252228,97,1511870.23196,3158.2014815,10.0759837737,NOT_AVAILABLE,85.2561566234,-55.3749447562,353.709692418,4.28085253953,5.09341771077e-05
24,210720575,K2C4,-1,1,0.2867265,-1.0,2457062.24492,0.015894,0.0123,-1.0,0.2692,-1.0,1.0,0.63,56.9877,18.6634,-1.0,-1.0,9.314,-1.0,-1.0,-1.0,False,,17740,           ,1635378410781933568,44749092459005056,1195386,2015.0,56.9876764321,0.285354274356,18.6632656713,0.190083419403,2.93284013585,0.319174395792,1.74947763894,0.0893567423588,-19.6039867211,0.0499775253607,0.300006836653,0.0880619436502,0.0567226745188,0.0498537458479,-0.0324692986906,0.0476283729076,0.11585932225,-0.0305086672306,0.000400756194722,0.234606653452,95,95,95,94,0,1,14.6772384644,0.80078037608,779.221718314,True,7.82536792755,1.48650252819,2.14228166442e-05,3,17,False,0.0991916134953,0.450548112392,0.106512948871,0.393570184708,-55.4152793884,-15.5139532089,-25.7897548676,25.9938545227,144,3663937.97608,2023.78106319,9.11489978077,NOT_AVAILABLE,170.887168203,-27.3425733601,58.9156136292,-1.28456197226,6.04050363349e-05
35,212145065,K2C5,-1,1,0.3151445,1.48e-05,2457146.06432,0.018753,0.0361,0.0288,0.2436,0.2078,0.507,0.9,127.0007,22.9287,-1.0,-1.0,11.473,-1.0,-1.0,-1.0,False,,-2147483648,1941-203-1 ,1635378410781933568,677954471640639872,1912757,2015.0,127.000729318,0.147483870718,22.9287145823,0.103741361802,3.56405243271,0.505405422646,1.21774463041,1.93028196336,1.11767730448,0.837534893946,-0.695865631104,-0.694638848305,-0.639810740948,0.642065048218,0.714725673199,0.713547766209,-0.707763552666,0.964623272419,-0.88230484724,-0.915667831898,95,95,95,89,0,6,,0.310655570145,101.120278182,True,3.17261242867,9.79562950134,2.92403256026e-05,5,17,True,0.0646168366075,0.53770428896,0.204725369811,0.414721935987,-128.098861694,23.9677295685,10.5244045258,-43.9701461792,137,458433.469541,1714.25670543,11.3715792706,NOT_AVAILABLE,201.171620121,30.8558338584,123.741367954,3.71890369709,2.40694633712e-05
38,211499872,K2C5,-1,1,0.3227483,1.54e-05,2457139.76855,0.017011,0.0548,0.0525,0.1451,0.1522,0.5018,0.76,124.4207,13.1384,-1.0,-1.0,11.901,-1.0,-1.0,-1.0,False,,-2147483648,806-1306-1 ,1635378410781933568,650381262636379648,213558,2015.0,124.420720365,0.375322166755,13.1384168966,0.278514820669,1.52185554594,0.406495905615,-6.02238063384,1.93631711193,-6.67691080794,1.22081131162,-0.915517628193,-0.726578712463,-0.72039526701,0.70140427351,0.736495554447,0.78994178772,-0.835092961788,0.826709926128,-0.746622622013,-0.955555737019,242,233,235,224,7,9,,0.567660725479,550.99372162,True,5.5919418335,2.95543432236,3.300167009e-05,5,32,True,0.459387809038,0.895113646984,0.464189946651,0.646224677563,17.5964736938,28.1468772888,18.9124164581,27.1842288971,255,337747.983727,617.174606696,11.7032881512,NOT_AVAILABLE,210.459092515,24.9705470473,123.634394727,-6.37255914647,6.33865232442e-05
48,210738738,K2C4,-1,1,0.349,1.91e-05,2457062.56975,0.014409,0.0154,-1.0,0.293,-1.0,1.0,0.86,53.3543,18.9379,-1.0,-1.0,11.059,-1.0,-1.0,-1.0,False,,-2147483648,1242-859-1 ,1635378410781933568,56827193329896832,1043902,2015.0,53.3544498418,0.295347037368,18.9378560795,0.198132697137,4.70247517746,0.257477057552,37.7797980129,0.856798582769,-4.95530656374,0.513182159762,-0.338655024767,0.374259620905,-0.75604981184,0.449766397476,-0.496493935585,0.488494247198,-0.546970248222,-0.573870718479,0.322763651609,-0.505358994007,53,53,52,52,1,1,,0.356140812237,125.897848816,True,3.59367394447,6.98449993134,2.37261756411e-05,5,10,True,0.179963722825,0.255735099316,0.296422421932,0.709752738476,-89.6084365845,-5.96681308746,-25.0535297394,31.9209079742,78,783028.201594,3234.3405873,10.790326554,NOT_AVAILABLE,167.811050491,-29.4841209169,55.628257942,-0.235854085479,2.80653959558e-05
59,60017809,K2E,-1,1,0.3636854,0.0005436,55001.155669,0.024906,0.2507,0.2277,0.1803,0.1696,0.4962,0.87,352.3881,-3.7688,-1.0,-1.0,11.514,-1.0,-1.0,-1.0,False,,-2147483648,5247-958-1 ,1635378410781933568,2634212328648066560,1789931,2015.0,352.38821145,0.476361176181,-3.76887349044,0.230336067691,3.62569006641,0.878455683495,18.3125736644,2.84564092067,4.53420721383,1.25319553145,0.811106622219,0.892025470734,-0.884614050388,-0.899399995804,0.785962760448,-0.834035694599,-0.742218673229,-0.957668125629,-0.945043623447,0.947956860065,114,114,114,106,0,8,,0.651507480533,599.843265619,True,6.39314174652,2.23312449455,4.53813227068e-05,5,13,True,0.246601700783,0.612393081188,0.351006150246,0.0504138991237,168.272369385,-22.2261714935,43.2290115356,-26.9219799042,113,464654.800565,4306.74242749,11.3569439928,NOT_AVAILABLE,79.4329635422,-59.5365467081,351.522678888,-0.443024557658,9.87576542893e-05
72,211719362,K2C5,-1,1,0.4021919,2.11e-05,2457141.28245,0.010094,0.0039,0.0035,0.1229,0.1222,0.4988,0.61,130.4093,16.1763,-1.0,-1.0,10.481,-1.0,-1.0,-1.0,False,,-2147483648,1392-1134-1,1635378410781933568,658163949535220480,1734356,2015.0,130.409253841,0.448547082749,16.1763395973,0.275132287735,1.76507461649,0.673651000976,-2.96721114263,2.13659718281,13.1925811209,1.31353141868,-0.111872136593,-0.370237439871,-0.626718103886,0.0721436589956,0.253861874342,0.138921558857,-0.385212093592,0.821854352951,-0.530562996864,-0.581724643707,40,40,40,40,0,0,,0.72771270183,298.158063463,True,7.12357282639,1.7578638792,2.74821977655e-05,5,7,True,0.250269502401,0.403141468763,0.404102802277,0.794381797314,82.9519119263,32.5247535706,54.366569519,-36.8896026611,60,1097694.43693,1230.40494188,10.4235664058,NOT_AVAILABLE,209.880329349,31.4916172259,128.533073058,-2.02203238773,3.54719552507e-05
73,60017822,K2E,-1,1,0.4034248,0.0006381,54999.154199,0.023002,0.2998,0.2897,0.1789,0.1925,0.5088,0.9,352.8183,-5.3717,-1.0,-1.0,11.3,-1.0,-1.0,-1.0,False,,-2147483648,5257-616-1 ,1635378410781933568,2632999773481171456,2037251,2015.0,352.818414299,0.242923563885,-5.37174722021,0.134717202509,3.46885653604,0.669395276303,15.6339378258,1.99592501008,-30.3269904553,0.876785815919,0.902210772038,0.882261991501,-0.912346422672,-0.91386526823,0.890249967575,-0.916786313057,-0.896532535553,-0.985708892345,-0.978464722633,0.984309077263,120,120,119,115,1,5,,0.273194515634,78.9549174248,True,2.83035969734,12.3887691498,2.80758686131e-05,5,14,False,0.410784363747,0.624231815338,0.244906052947,0.0692113190889,151.99079895,-20.0450077057,39.7727203369,-8.52263069153,119,439009.162585,4953.16829795,11.4185861025,NOT_AVAILABLE,78.0980647184,-61.0583442408,351.284185669,-2.08504889552,9.29026431607e-05
79,210835735,K2C4,-1,1,0.43,2.58e-05,2457062.4098,0.02317,0.1696,-1.0,0.1749,-1.0,1.0,0.7,60.2635,20.414,-1.0,-1.0,11.825,-1.0,-1.0,-1.0,False,,-2147483648,1258-505-1 ,1635378410781933568,50652988863155840,1657441,2015.0,60.2634454432,0.3604296525,20.4138354199,0.146245858629,2.90896783877,0.300056450378,-8.24581835452,0.998015698985,-29.4616454023,0.475699512123,0.00309817260131,0.181816220284,-0.637783885002,0.154045671225,-0.110437363386,0.175739884377,-0.654740869999,-0.232667312026,0.00888951122761,-0.263358622789,193,193,193,186,0,7,,0.701515149328,832.804276496,True,6.87227106094,1.84946799278,2.7222904464e-05,5,25,True,0.45455083251,0.740237236023,0.435988903046,0.419309169054,-20.2079772949,-5.09793663025,-12.4378118515,-1.36554443836,218,1148414.84199,11381.2987098,10.3745230723,NOT_AVAILABLE,171.935053137,-23.9218293805,62.2985146662,-0.21130630469,4.50612179211e-05
97,60017815,K2E,-1,1,0.463404,0.0007653,55000.543596,0.027119,0.356,0.352,0.1274,0.1456,0.4995,0.78,355.5288,-3.0996,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,False,,-2147483648,5255-370-1 ,1635378410781933568,2639746754786176768,475906,2015.0,355.528789278,0.352087305209,-3.0996552931,0.160020296164,2.11097275893,0.650895500224,1.20633007838,2.08223754045,-19.5871738174,0.899673126144,0.879974424839,0.897647857666,-0.922891378403,-0.923836946487,0.847610592842,-0.89020884037,-0.855663180351,-0.972479879856,-0.964978635311,0.967367470264,148,148,148,142,0,6,,0.463771016606,253.413585518,True,4.60478973389,4.47658109665,3.2325846405e-05,5,17,False,0.288855940104,0.587099194527,0.18578530848,0.138199537992,161.906219482,-16.6269493103,40.2523651123,5.16628026962,147,336575.99808,4158.32105917,11.707062208,NOT_AVAILABLE,85.3515947508,-60.8088270348,354.666922475,-1.06841861366,3.06637635866e-05
99,60017814,K2E,-1,1,0.4816536,0.0008402,54998.408896,0.020029,-0.2578,-1.0,0.3772,-1.0,1.0,0.38,356.8264,-8.0867,-1.0,-1.0,10.4,-1.0,-1.0,-1.0,False,,117317,           ,1635378410781933568,2436283193217778176,1268250,2015.0,356.826396093,0.29222309197,-8.08669280275,0.166051821018,3.06775293585,0.329050092047,-10.3535968226,0.12085618925,0.0607196483657,0.0961350681738,0.440444052219,-0.564709544182,0.0611941702664,-0.0203987546265,-0.523481786251,-0.00674876291305,0.0127217778936,-0.183542966843,-0.170453771949,0.486234515905,70,70,69,70,1,0,2.94907665253,0.510229783337,318.210234199,True,5.04527235031,3.30861616135,2.87215862045e-05,3,10,True,0.217618882656,0.505616366863,0.353830337524,0.253904283047,-159.472259521,-13.5885438919,-39.0574645996,22.9532260895,75,1060899.16648,11329.7476296,10.4605847933,NOT_AVAILABLE,81.3968498196,-65.6450235223,353.865649875,-6.1574445553,3.98815162888e-05
101,211538914,K2C5,-1,1,0.4935475,2.83e-05,2457140.27534,0.030256,0.0564,0.058,0.1571,0.1708,0.4969,0.89,136.9686,13.6866,-1.0,-1.0,10.11,-1.0,-1.0,-1.0,False,,-2147483648,818-408-1  ,1635378410781933568,606153132531034112,2042967,2015.0,136.968610115,0.356082549097,13.6866157095,0.349083011008,4.09968617436,0.481097535774,-9.25510701116,0.697292805737,6.46633860116,0.961735153225,-0.627547860146,-0.623389542103,-0.636335611343,-0.719292581081,0.736522853374,0.358846902847,0.520435094833,0.660992741585,0.610797226429,0.392204761505,36,36,36,36,0,0,,0.501808325998,101.659216518,True,4.9652967453,3.73806428909,2.00497670448e-05,5,6,False,0.366406828165,0.512422978878,0.38396653533,0.920711398125,110.460571289,50.3077583313,52.3956184387,-32.4407730103,51,2466426.96437,14956.3116192,9.5445994146,NOT_AVAILABLE,215.62645588,36.3558626207,135.316135859,-2.67371604777,4.96777183811e-05
117,205934569,K2C3,-1,1,0.542624,3.72e-05,2456979.84168,0.024987,0.2601,-1.0,0.19,-1.0,1.0,0.65,334.8428,-16.8926,-1.0,-1.0,10.721,-1.0,-1.0,-1.0,False,,-2147483648,6378-652-1 ,1635378410781933568,2595576555199531392,23698,2015.0,334.842806468,0.419457592973,-16.8925755993,0.541753425402,1.96972476609,0.651888102908,11.6570862462,1.9902166346,2.11005478677,3.15073304158,0.863956272602,0.833102524281,-0.266990751028,0.534304320812,0.621121764183,0.058835439384,0.76906400919,-0.657031416893,0.18299613893,0.561941921711,45,45,45,44,0,1,,0.470579949446,149.44591534,True,4.66922950745,3.95424890518,3.17335434374e-05,5,6,False,0.473789989948,0.601382434368,0.369455367327,0.980138003826,-33.5405158997,-60.1343193054,51.9661026001,27.2341747284,35,849878.343902,7718.94435749,10.7013781565,NOT_AVAILABLE,41.1514317089,-53.4565394235,330.561629955,-6.01566925058,4.51656047019e-05
124,202071293,K2C0,-1,1,0.5729344,0.0001106,56774.626426,0.020832,0.0512,0.0501,0.1333,0.1268,0.502,0.68,96.5968,16.0512,-1.0,-1.0,10.8,-1.0,-1.0,-1.0,False,,-2147483648,1328-919-1  ,1635378410781933568,3368951559340695808,6088,2015.0,96.5968885632,0.387268048188,16.0511146216,0.397390037511,3.05749916107,0.230213676865,17.7517428353,1.79591991072,-20.2411897958,1.60524570185,-0.865848779678,-0.111958362162,-0.899431407452,0.903950989246,-0.150932431221,0.838032305241,-0.880289316177,0.262684524059,-0.181385695934,-0.961860179901,57,57,56,56,1,1,,0.237412194157,81.1240438449,True,2.5089161396,14.8134365082,2.8450100217e-05,5,7,False,0.42929533124,0.386502176523,0.600524902344,0.941126346588,-90.8527832031,36.3310546875,-26.6507797241,-42.7942276001,58,927117.378943,1953.73220178,10.6069332587,NOT_AVAILABLE,195.832114715,1.8783378292,96.3898340907,-7.24195954377,1.11934260035e-05
