,KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,Unnamed: 23,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
0,10417986,Kepler,-1,1,0.0737309,0.0,55000.027476,0.004231,0.0004,0.0004,0.2465,0.25,0.5027,0.99,296.7488,47.5438,81.039,11.082,9.128,-1.0,-1.0,-1.0,True,,-2147483648,3561-1547-1 ,1635378410781933568,2086579087597378816,227265,2015.0,296.74883975,0.193009400937,47.5438160883,0.248411572711,3.58685634538,0.296720837294,14.4772650736,0.725711934378,1.32741094501,0.640701637156,-0.243246540427,-0.196779221296,-0.223231628537,0.0603795163333,0.788841187954,-0.366773039103,-0.477994650602,-0.465524375439,-0.379411011934,-0.0835947021842,84,84,81,82,3,2,,0.501790667551,226.730959878,True,4.96512937546,3.84673285484,1.70956900547e-05,5,14,False,0.291428476572,0.303731143475,0.236440941691,0.312191575766,-99.0436019897,26.1918468475,22.0804233551,-9.42811870575,99,3990913.79153,2775.61423019,9.02208919732,NOT_AVAILABLE,81.0390520144,11.0817636527,319.490367033,66.4466932814,3.51145246754e-05
1,8912468,Kepler,-1,1,0.094838,0.0,54953.576945,0.005326,0.0041,0.0041,0.2515,0.2496,0.5029,0.98,300.1156,45.1679,80.1095,7.8882,11.751,6194.0,6464.0,6839.0,False,,-2147483648,3558-2291-1 ,1635378410781933568,2082167091036642304,578259,2015.0,300.115633948,0.187795944146,45.167941237,0.329452635154,1.55112632483,0.377842479637,6.1137349015,1.23588884445,4.4409805241,1.19907039179,-0.0369798094034,0.0151316095144,-0.520578086376,0.0391405448318,0.858084976673,-0.627003073692,-0.794102907181,-0.757370114326,-0.617533922195,0.482626825571,80,80,80,73,0,7,,0.447360649722,154.467502573,True,4.44966936111,4.86746120453,2.92363201879e-05,5,13,False,0.28395113349,0.139293149114,0.0703256577253,0.543028891087,-145.172683716,-79.587310791,5.11027002335,7.50859880447,106,358669.753526,171.274479605,11.638033178,NOT_AVAILABLE,80.1095419385,7.88804200912,321.892955624,63.2839828241,2.27850081766e-05
5,9612468,Kepler,-1,1,0.1334715,1e-07,54953.603803,0.007568,0.001,0.001,0.2533,0.2499,0.503,1.0,299.9821,46.2624,81.0112,8.5285,11.531,7202.0,-9999.0,7430.0,False,,-2147483648,3558-1803-1 ,1635378410781933568,2085378249101155584,1236432,2015.0,299.982126518,0.365364632012,46.2622860583,0.670346915546,1.02820859837,0.360049941398,-2.81214857915,1.75031624623,-8.44969925239,2.73909341932,0.854164481163,0.06399127841,-0.737290978432,-0.846228301525,0.122746631503,-0.709959030151,-0.950579285622,-0.637054562569,-0.0700250193477,0.663410604,70,70,70,68,0,2,,0.528262483183,205.981242744,True,5.21669387817,3.34752583504,3.28602945956e-05,5,10,False,0.376911342144,0.383051335812,0.177516594529,0.563265919685,-129.688064575,-80.0378112793,-41.7532234192,20.6837654114,81,439676.862781,345.336825673,11.4169360332,NOT_AVAILABLE,81.0111521346,8.52832085458,322.82267753,64.3026928033,8.42744644566e-05
8,9898401,Kepler,-1,1,0.1527742,1e-07,54964.733972,0.00881,0.0028,0.0028,0.2471,0.2473,0.5024,0.99,294.8448,46.7042,79.6654,11.8375,12.073,7376.0,-9999.0,-9999.0,False,,-2147483648,3556-3232-1 ,1635378410781933568,2128516247789705344,95424,2015.0,294.844824925,0.170185922545,46.7041594024,0.270750317845,1.37826473756,0.347573427776,-2.77315291771,1.48054937569,-3.54689086583,0.846469219649,0.478283971548,0.511148989201,-0.566305994987,-0.210103228688,0.709231495857,-0.675152599812,-0.35628965497,-0.879106640816,-0.0197657961398,-0.118566758931,104,104,104,96,0,8,,0.580741659076,283.549339881,True,5.71672439575,2.85458612442,2.67331870418e-05,5,17,False,0.374843090773,0.189234033227,0.223341614008,0.158601805568,-98.5257873535,86.6964950562,40.3188018799,10.7297649384,125,270501.391136,73.6412288022,11.9443463065,NOT_AVAILABLE,79.665472141,11.8373817904,315.673693449,66.2483218287,3.85655771577e-05
9,7375612,Kepler,-1,1,0.1600729,1e-07,54953.638704,0.008521,0.0243,0.0242,0.2619,0.2577,0.502,0.97,295.467,42.9279,76.4714,9.6904,12.041,6682.0,6935.0,6918.0,False,,-2147483648,3144-920-1  ,1635378410781933568,2078007604184884096,315597,2015.0,295.466959503,0.198562350009,42.9278595366,0.26797149964,1.34340851241,0.359002325159,-3.16280625744,1.49240886561,-3.43484518025,1.15313997173,0.585763990879,0.563678205013,-0.710733175278,-0.454205304384,0.754969060421,-0.746747076511,-0.59900444746,-0.876956760883,-0.425204008818,0.523303329945,104,104,104,95,0,9,,0.598259589659,206.901272388,True,5.88396644592,2.72925710678,2.57045194303e-05,5,16,False,0.268499016762,0.194603830576,0.0623852647841,0.448966264725,-101.164535522,-64.6971206665,25.4675712585,5.43123960495,128,268042.674146,3176.32864147,11.9542602087,NOT_AVAILABLE,76.4714125198,9.69026244029,313.172418603,62.6021292126,3.09077826018e-05
10,5872696,Kepler,-1,1,0.1726132,1e-07,54953.79871,0.009822,0.0062,0.0062,0.2498,0.2537,0.5029,0.99,290.5962,41.1856,73.2243,12.1282,11.854,-1.0,-1.0,-1.0,False,,-2147483648,3138-1065-1 ,1635378410781933568,2101594499423438336,974150,2015.0,290.596247045,0.174152108749,41.1856224427,0.301374590655,0.716410260105,0.398703390506,2.88906895743,1.9415191126,-5.07930890112,1.00508983646,0.330474436283,0.251124352217,-0.26397678256,-0.293503433466,0.627890527248,-0.656521379948,-0.163405194879,-0.875023782253,0.212644293904,-0.373108834028,79,79,79,73,0,6,,0.628221547185,170.635427089,True,6.17033195496,2.50468993187,3.23003514495e-05,5,13,False,0.492087483406,0.188420727849,0.337301701307,0.0976710692048,-85.8096389771,81.2862014771,35.8181228638,7.06280899048,91,256054.421939,143.33716923,12.0039393631,NOT_AVAILABLE,73.2243509382,12.128062223,304.55526281,62.1762228502,4.94726984475e-05
11,7767774,Kepler,-1,1,0.1733883,1e-07,55007.740259,0.009929,0.0033,0.0033,0.2491,0.2499,0.5025,0.99,296.4773,43.4748,77.315,9.3041,12.511,-1.0,-1.0,-1.0,False,,-2147483648,3148-1212-1 ,1635378410781933568,2078789906708087808,2041913,2015.0,296.477289471,0.23526328511,43.4747416253,0.580007278319,1.2222283183,0.827731824346,-6.92689291611,5.10603527149,-6.85478928418,1.19638984441,0.874553740025,0.880803108215,-0.884686946869,-0.761197209358,0.966498434544,-0.967748045921,-0.817108869553,-0.988490760326,-0.748932480812,0.739043176174,98,98,98,92,0,6,,0.516128384257,168.691524526,True,5.10132026672,3.63531708717,2.18591667362e-05,5,17,False,0.634860336781,0.13111962378,0.169166386127,0.154557213187,-108.32585144,72.4530792236,35.6848487854,3.13828802109,133,181047.598964,51.0039945962,12.3802881398,NOT_AVAILABLE,77.3149915437,9.30397627212,315.111897182,62.8281018446,3.65945798996e-05
13,10684673,Kepler,-1,1,0.1925563,1e-07,55026.598808,0.010851,0.0106,-1.0,0.2528,-1.0,1.0,1.0,298.4267,47.9742,81.9764,10.3016,11.125,7106.0,-9999.0,6873.0,True,,-2147483648,3562-805-1  ,1635378410781933568,2086474427834313344,242850,2015.0,298.426679012,0.177570847592,47.9742333305,0.278943264261,1.21589096131,0.344320210293,-0.820432692922,1.30579312878,0.0594306166613,1.11967474333,0.504916012287,0.559802055359,-0.712918758392,-0.213549435139,0.784401059151,-0.703840255737,-0.470930755138,-0.836351454258,-0.209015488625,0.36828109622,92,92,91,88,1,4,,0.49921349087,578.121810592,True,4.94066572189,3.71167612076,3.65079504263e-05,5,16,False,0.29552000761,0.244515314698,0.0689766258001,0.41401129961,-122.251747131,-74.6386184692,26.048286438,6.80607366562,117,654145.503127,2506.12233585,10.9855841633,NOT_AVAILABLE,81.9764587533,10.3014233529,322.48424959,66.3103625606,3.47493358374e-05
15,6699679,Kepler,-1,1,0.2012033,1e-07,54953.612834,0.011484,0.0057,0.0057,0.2486,0.2551,0.5031,1.0,294.0955,42.1616,75.3042,10.2256,11.574,-1.0,-1.0,-1.0,False,,-2147483648,3143-1777-1 ,1635378410781933568,2077531378213755264,33145,2015.0,294.095508588,0.163440639747,42.1615416304,0.283082653279,1.43966070422,0.319820030491,-5.2931720308,1.27884368605,-6.57946393863,1.23916399943,0.41175621748,0.472495496273,-0.679081857204,-0.338701665401,0.690788924694,-0.661320626736,-0.73306208849,-0.857311367989,-0.431448161602,0.49460169673,96,96,96,88,0,8,,0.48293572891,166.35101629,True,4.78627252579,4.12256765366,2.85396272375e-05,5,17,False,0.363737076521,0.250405818224,0.144976720214,0.371983140707,-128.135650635,-86.7581253052,15.442358017,-0.708328843117,130,262054.662635,966.513113837,11.9787903355,NOT_AVAILABLE,75.3041800124,10.2254531844,310.539553177,62.2512477893,4.20235442174e-05
16,6287172,Kepler,-1,1,0.2038732,1e-07,54953.651911,0.010821,0.0031,0.0031,0.2484,0.2625,0.5039,0.95,292.4987,41.6292,74.2716,11.0419,12.714,6646.0,6896.0,6721.0,False,,-2147483648,3142-957-1  ,1635378410781933568,2053639231061556736,23377,2015.0,292.498651374,0.188583479153,41.6291272146,0.293133339889,1.31458979874,0.378242480042,-6.94596028466,1.53477511678,-7.50945649241,1.45139113868,0.515236854553,0.593805730343,-0.717639148235,-0.459452867508,0.672588467598,-0.676005363464,-0.585072994232,-0.883953630924,-0.449248045683,0.542928755283,97,97,97,89,0,8,,0.633247163323,197.384387186,True,6.21840190887,2.41574692726,1.61367024702e-05,5,15,False,0.378957659006,0.399550497532,0.145909190178,0.319338679314,-104.171195984,-86.3391723633,8.87779712677,3.34504127502,113,151727.874884,53.9355048403,12.5721066261,NOT_AVAILABLE,74.2716086117,11.0417806589,307.754957088,62.1510300885,4.21513819179e-05
