,dec,ra,Seq,N,RAJ2000,DEJ2000,Comp,mag1,n_mag1,mag2,n_mag2,Sp1,Sp2,Name,Simbad,N.1,o,Per,f_Per,e_Per,e,f_e,e_e,K1,K2,V0,rms1,rms2,Grade,Ref,Details,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
6,28.24753,2.25067,5,N,00 09 00.16,+28 14 51.1,     , 6.520,V,      , ,A4Vm            ,          ,HIP 728                      ,Simbad,N,3,34.2624, ,      0.0006,0.32, ,0.0038,  37.74,  46.33,  11.35,       ,       ,5.0,2010AJ....140.1381F                                ,Details,728,           ,1635378410781933568,2860078027316028416,1223419,2015.0,2.25069464553,0.387238424283,28.2475173082,0.405781390995,8.13965665547,0.569420149583,5.23753755785,0.0301853861779,-5.93473570307,0.0216270464815,0.34525641799,0.152344346046,0.526426076889,0.271037429571,-0.299932599068,0.180233255029,0.790765583515,0.0721526145935,-0.237483307719,0.158195063472,84,84,84,82,0,2,5.30829286575,1.51855078338,664.780734827,True,14.7518157959,0.432793706656,1.99252936e-05,3,14,False,0.240031734109,0.423134952784,0.444928079844,0.311155438423,-141.124435425,-45.1404380798,40.8786048889,13.2710361481,104,43338056.4752,25524.6781886,6.43259648587,NOT_AVAILABLE,111.691438685,-33.696321567,14.0327613839,24.8640174719,1.20368005541e-05
9,58.21183,2.90479,8,N,00 11 37.15,+58 12 42.6,     , 7.080,V,      , ,B7II-Ib         ,B         ,HIP 940                      ,Simbad,N,1,55.9212, ,            ,0.04, ,      ,  87.50,       , -25.60,       ,       ,3.0,1978PASP...90..179H                                ,Details,940,           ,1635378410781933568,422858806104455552,1808790,2015.0,2.90478253053,0.369956600287,58.2118184098,0.283463355268,1.75248731482,0.494663855898,0.446276991564,0.0284339666067,-2.60538536486,0.0234504224597,-0.151109188795,0.233820647001,0.538415312767,-0.077309794724,0.163449317217,-0.0858074352145,0.50552469492,0.120824925601,0.0919795408845,-0.130843177438,87,87,87,85,0,2,0.771220088005,1.31484897257,327.130177008,True,12.7827682495,0.569252192974,1.17470226542e-05,3,14,False,0.284404247999,0.31128719449,0.232166483998,0.51304090023,-104.840278625,17.4465961456,48.1632347107,10.064997673,102,25447346.7147,32563.6550536,7.0106637963,NOT_AVAILABLE,117.692607703,-4.25429146351,34.5755674193,50.2858916297,5.84061835841e-06
10,62.04089,3.30304,9,N,00 13 12.73,+62 02 27.2,     , 6.640,V,      , ,A2m             ,          ,HIP 1063                     ,Simbad,N,1,11.2153, ,            ,0.22, ,      ,  43.80,       , -12.50,       ,       ,3.0,1971A&A....14..189A                                ,Details,1063,           ,1635378410781933568,429778582537600256,1456766,2015.0,3.3036901556,0.285211417406,62.0407978384,0.278581532654,7.57782355664,0.394717098468,72.6395898714,0.0230712678948,-19.1598396589,0.0237484467878,-0.165818184614,-0.153913974762,0.507200300694,-0.0781036391854,0.377903878689,-0.0877989605069,0.491087555885,-0.0949329659343,0.200909689069,-0.292027980089,123,123,123,120,0,3,1.09253203869,1.28817956404,293.686152382,True,12.525094986,0.595848321915,1.64828470588e-05,3,22,False,0.111446797848,0.146080255508,0.287365972996,0.546041250229,176.191131592,25.0914344788,-57.6235237122,12.8758363724,162,36991451.0076,19772.6996129,6.60451664619,NOT_AVAILABLE,118.467813751,-0.499199137946,38.7855418438,53.0964738285,1.25159793399e-05
14,-71.91578,4.33962,13,N,00 17 21.51,-71 54 56.8,     , 9.950,V,10.430,V,F2              ,          ,HIP 1387                     ,Simbad,N,1,0.5948, ,            ,0.0, ,      ,  88.50, 250.00,  20.60,       ,       ,3.0,1986MNRAS.223..581H                                ,Details,1387,           ,1635378410781933568,4689821162988966784,1160469,2015.0,4.34003440661,0.21368343131,-71.9158338523,0.168621054798,2.99841988426,0.224409289473,29.3075377993,0.123261344764,-10.3084631031,0.120387973047,-0.102737776935,0.460439682007,-0.0096616409719,-0.0811730399728,-0.158372938633,0.00500256521627,0.0465081483126,-0.0265245735645,-0.178221702576,-0.0318022370338,117,117,117,116,0,1,2.46852135658,0.404756253804,258.345554455,True,4.048371315,5.43167448044,2.53650978266e-05,3,17,False,0.115415811539,0.170326903462,0.130154654384,0.274291932583,174.45199585,9.22000026703,-50.6673278809,19.6984386444,143,1635470.34816,23758.2946174,9.99066337741,NOT_AVAILABLE,306.658470854,-44.9650252455,310.959491158,-61.8243299422,1.27029855127e-05
15,61.72706,4.57392,14,N,00 18 17.74,+61 43 37.4,     , 7.630,V,      , ,B0-B0.5Ib       ,B0-B0.5Ib ,HIP 1466                     ,Simbad,N,1,20.2819, ,            ,0.05, ,      , 113.70, 116.60, -35.80,       ,       ,3.0,1986PDAO...16..193H                                ,Details,1466,           ,1635378410781933568,429709416383961088,539769,2015.0,4.57387903018,0.226451892503,61.7270508869,0.175851543445,0.303024263128,0.258826852468,-2.84495879889,0.0441640176304,-1.44445395738,0.0417065625503,-0.175411686301,-0.372031390667,0.162530526519,-0.029518827796,0.318664550781,-0.0365443155169,0.189854517579,-0.11503649503,0.0986152514815,-0.126176536083,88,88,87,86,1,2,3.0822725296,0.541216749377,188.895393038,True,2.31102776527,3.27053976059,6.95552716934e-06,3,15,True,0.333018988371,0.247557803988,0.278070122004,0.647702217102,39.2365341187,8.06467056274,5.15387678146,8.89298629761,108,15066861.7355,7782.80674968,7.57971305663,NOT_AVAILABLE,119.017404469,-0.892542861357,39.1920597287,52.4669750766,8.1616791579e-06
17,29.45428,5.70783,16,N,00 22 49.88,+29 27 15.4,     , 7.000,V,      , ,A3V             ,          ,HIP 1799                     ,Simbad,N,1,1.4323, ,            ,0.02, ,      ,  53.40,       ,   4.40,       ,       ,4.0,1949PDDO....1..473T                                ,Details,1799,           ,1635378410781933568,2857501390534635264,1484122,2015.0,5.70821507221,0.216249491917,29.4542411238,0.386672041938,6.77510662461,0.372122609024,81.4303168035,0.0305803665179,-9.47905335628,0.0305871399474,0.342497050762,-0.179278641939,0.266004830599,0.170173749328,-0.667098224163,0.107533216476,0.518684506416,-0.0824347734451,-0.355611175299,0.168923303485,80,80,80,78,0,2,13.131023407,0.881862687793,443.26496506,True,8.60536575317,1.27399551868,1.17039535326e-05,3,11,False,0.336230784655,0.415943592787,0.365566968918,0.731542050838,-128.047424316,-67.2076644897,-57.0630683899,18.9691410065,95,27573073.8727,26571.2513936,6.92355710291,NOT_AVAILABLE,115.505219336,-33.0046714442,17.6126471652,24.6265236455,4.03969820072e-06
22,-51.04386,6.18675,20, ,00 24 44.82,-51 02 37.9,     , 6.810,V,      , ,G4IV-V          ,          ,HIP 1955                     ,Simbad, ,1,115.33, ,            ,0.33, ,      ,  15.30,       ,   8.30,       ,       ,3.0,1967RGOB..130..355B                                ,Details,1955,           ,1635378410781933568,4972788554934541952,1457497,2015.0,6.19033464154,0.270983420867,-51.0449242125,0.315659064687,27.8799235969,0.513949370744,544.308053799,0.0255759114579,-254.204739157,0.0286839127068,-0.378005713224,0.0889737680554,0.434223532677,-0.173357471824,-0.0502773597836,-0.167160794139,0.446765035391,0.0342039875686,-0.0271945670247,-0.304497510195,310,310,309,303,1,7,2.27770018578,2.19290607642,2756.07111754,True,21.2772865295,0.204107522964,1.500619328e-05,3,40,False,0.484405696392,0.383525848389,0.104841120541,0.153659760952,-119.779388428,55.6594696045,-12.9849090576,5.94291067123,337,36316789.8091,10340.3765934,6.62450143268,NOT_AVAILABLE,313.094108057,-65.553730213,338.427472913,-47.7686854625,1.51080444954e-05
27,60.15114,7.525,25, ,00 30 06.00,+60 09 04.1,     , 8.850,V,      , ,F5Ib            ,          ,HIP 2354                     ,Simbad, ,1,2440.0, ,            ,0.14, ,      ,  15.10,       , -38.00,       ,       ,3.0,1987AJ.....94..403H                                ,Details,2354,           ,1635378410781933568,428617463898333824,241433,2015.0,7.52499026646,0.174729656143,60.1511345107,0.190796160714,0.47139604377,0.24578262579,-2.44262296761,0.0688896292402,-1.24240407327,0.0671476681858,-0.114784039557,0.11936121434,0.0170255079865,-0.010953783989,0.137696743011,-0.0239203199744,0.075659237802,-0.0497117042542,0.0436933077872,-0.145412430167,133,133,133,130,0,3,2.0580739975,0.566117445047,214.237831529,True,5.57722616196,2.79702377319,1.12810157589e-05,3,18,False,0.369973778725,0.138375803828,0.155214205384,0.475297957659,-102.211761475,62.0965843201,53.9843864441,18.4555225372,130,7138240.85541,2371.56494712,8.39079206974,NOT_AVAILABLE,120.277000368,-2.61057473339,39.3655963273,50.3397934182,5.34223256268e-06
34,-25.67303,9.11704,32,N,00 36 28.09,-25 40 22.9,     , 9.800, ,10.500, ,F0              ,G8        ,CD -26 179                   ,Simbad,N,1,0.5116, ,            ,0.0, ,      , 105.20,       ,  30.60,       ,       ,3.0,1986MNRAS.223..581H                                ,Details,-2147483648,6421-1753-1,1635378410781933568,2346630217680329472,258241,2015.0,9.11717767072,0.146658275122,-25.672894804,0.132624404431,3.31894994917,0.277346356848,29.7492757447,0.712765270305,34.1976350093,0.579222013895,0.625164628029,0.486622005701,-0.560876786709,-0.583193063736,0.544841885567,-0.628510713577,-0.461384922266,-0.752785205841,-0.783975601196,0.802928924561,182,182,177,180,5,2,,0.407260368685,313.03952025,True,4.07189369202,5.44256448746,2.56890216406e-05,5,21,False,0.0133461970836,0.530509650707,0.269548177719,0.0674549639225,-82.9195861816,-34.3923149109,43.2970046997,-28.9378414154,180,1186349.96924,15494.7831128,10.3392380055,NOT_AVAILABLE,55.5608562588,-86.3459375022,357.342652429,-27.0193041613,7.29520817156e-06
35,-49.13233,9.15825,33,N,00 36 37.98,-49 07 56.4,A    , 6.780,V,      , ,G3V             ,G8V       ,HIP 2888                     ,Simbad,N,1,3.7418, ,            ,0.01, ,      ,  84.90,  86.80,  -3.00,       ,       ,3.0,1962RGOB...61...91B                                ,Details,2888,           ,1635378410781933568,4974688407948326528,1611755,2015.0,9.16068935778,0.149909854498,-49.1328808427,0.182905313494,22.5256091305,0.275068484019,385.34578687,0.025581996217,-133.340900588,0.0274612011885,-0.399455338717,-0.000723959528841,0.228096947074,-0.109693564475,-0.0337974764407,-0.0982198342681,0.263959228992,-0.0105159860104,-0.0220208000392,-0.442421227694,319,319,319,313,0,6,3.05241036415,0.93017911632,497.549477182,True,9.07064151764,1.14750289917,1.62407122843e-05,3,42,False,0.570883214474,0.435351610184,0.231577545404,0.238284513354,-109.962478638,58.4018440247,1.61425733566,-11.5888757706,345,37287897.1197,12083.239556,6.59585033466,NOT_AVAILABLE,309.348983102,-67.8106163623,342.373668396,-47.3293981312,1.06356809056e-05
