#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-10-18T14:32:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5806326966da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:B/sb9&tab:{B/sb9/main}&tab:{B/sb9/orbits}&key:source=B/sb9/main&key:source=B/sb9/orbits&HTTPPRM:&&-ref=VIZ5806326966da&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/sb9/main,B/sb9/orbits
#-order=I
#-out=Seq
#-sort=Seq
#-joincol={B/sb9/main}.{Seq}
#-joincol=Seq
#-out=N
#-out=RAJ2000
#-out=DEJ2000
#-out=Comp
#-out=mag1
#-out=n_mag1
#-out=mag2
#-out=n_mag2
#-out=Sp1
#-out=Sp2
#-out=Name
#-out=Simbad
#Simbad=Simbad
#-out=o
#-out=Per
#-out=f_Per
#-out=e_Per
#-out=e
#-out=f_e
#-out=e_e
#-out=K1
#-out=K2
#-out=V0
#-out=rms1
#-out=rms2
#-out=Grade
#Grade=> -1
#-out=Ref
#SB8=SB8
#-out=Details
#Details=Details
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables B/sb9/main,B/sb9/orbits
#
#Table	B_sb9_main_B_sb9_orbits:
#Name: B/sb9/main,B/sb9/orbits
#Title:
#Column	_RAJ20001	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ20001	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq1	(I4)	[1/3531] System Number (SB8 number when Seq<=1469) \linkRole{aliases and known periods for this binary } [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	N1	(A1)	{\bf N} when a note exists	[ucd=phot.mag;em.IR.8-15um]
#Column	RAJ20001	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ20001	(A11)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Comp1	(a5)	Component	[ucd=meta.code.multip]
#Column	mag11	(F6.3)	? Magnitude of component 1	[ucd=phot.mag]
#Column	n_mag11	(A1)	[JPBVRyrIK] Filter in which mag1 is given	[ucd=meta.note]
#Column	mag21	(F6.3)	? Magnitude of component 2	[ucd=phot.mag]
#Column	n_mag21	(A1)	[PBVRyrIK] Filter in which mag2 is given	[ucd=meta.note]
#Column	Sp11	(a16)	MK Spectral type component 1	[ucd=src.spType]
#Column	Sp21	(a10)	MK Spectral type component 2	[ucd=src.spType]
#Column	Name1	(a29)	Name of the source (HIP when existing)	[ucd=meta.id]
#Column	Simbad1	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref.url]
#Column	N2	(A1)	{\bf N} when a note exists	[ucd=phot.mag;em.IR.8-15um]
#Column	o2	(I1)	Orbit number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	Per2	(F12.4)	[0.05,116675] Period	[ucd=time.period]
#Column	f_Per2	(A1)	[a] a=assumed (fixed)	[ucd=meta.code]
#Column	e_Per2	(F12.4)	? Mean error on Per	[ucd=stat.error]
#Column	e2	(F6.4)	Orbital eccentricity	[ucd=src.orbital.eccentricity]
#Column	f_e2	(A1)	[>a] a=assumed (fixed) (1)	[ucd=meta.code]
#Column	e_e2	(F6.4)	? Mean error on eccentricity	[ucd=stat.error]
#Column	K12	(F7.2)	? Velocity amplitude of primary	[ucd=phys.veloc]
#Column	K22	(F7.2)	? Velocity amplitude of secondary	[ucd=phys.veloc]
#Column	V02	(F7.2)	? Systemtic velocity	[ucd=phys.veloc]
#Column	rms12	(F7.2)	? rms residuals of Radial Velocity primary	[ucd=stat.stdev]
#Column	rms22	(F7.2)	? rms residuals of Radial Velocity secondary	[ucd=stat.stdev]
#Column	Grade2	(F4.1)	? Grade of orbit (0=poor, 5=definitive)	[ucd=stat.weight]
#Column	Ref2	(a51)	Reference (bibcode) of orbit publication	[ucd=meta.bib]
#Column	Details2	(a7)	Detailed velocities and plots from http://sb9.astro.ulb.ac.be/	[ucd=meta.ref.url]
dec|ra|Seq|N|RAJ2000|DEJ2000|Comp|mag1|n_mag1|mag2|n_mag2|Sp1|Sp2|Name|Simbad|N|o|Per|f_Per|e_Per|e|f_e|e_e|K1|K2|V0|rms1|rms2|Grade|Ref|Details
#deg|deg| | |"h:m:s"|"d:m:s"| |mag| |mag| | | | | | | |d| |d| | | |km/s|km/s|km/s|km/s|km/s| | |
#---------|---------|----|-|-----------|-----------|-----|------|-|------|-|----------------|----------|-----------------------------|------|-|-|------------|-|------------|------|-|------|-------|-------|-------|-------|-------|----|---------------------------------------------------|-------
 -5.70761|001.33392|   1|N|00 05 20.14|-05 42 27.4|     | 4.610|V|      | |K1III           |          |HIP 443                      |Simbad|N|1|     72.9300| |            |0.2720| |0.0170|  16.43|       |  -6.56|   1.25|       | 5.0|1926PDAO....3..341H                                |Details
+63.67967|001.51412|   2|N|00 06 03.39|+63 40 46.8|     | 7.400|V|      | |O8fp            |          |HIP 505                      |Simbad|N|1|      4.6100| |            |0.0000| |      |   9.30|       | -70.00|       |       | 1.0|1975ApJ...200..122H                                |Details
 -2.44772|002.05042|   3|N|00 08 12.10|-02 26 51.8|     | 6.080|V|      | |K2III           |          |HIP 664                      |Simbad|N|1|     96.4390| |            |0.0400| |      |  24.30|       |  -0.40|       |       | 4.0|1985PASP...97..355B                                |Details
+29.09044|002.09692|   4| |00 08 23.26|+29 05 25.6|A    | 2.170|V|      | |A0p             |          |HIP 677                      |Simbad| |1|     96.6960| |            |0.5200| |      |  30.10|       | -11.60|       |       | 4.0|1976PDAO...14..379A                                |Details
+29.09044|002.09692|   4| |00 08 23.26|+29 05 25.6|A    | 2.170|V|      | |A0p             |          |HIP 677                      |Simbad| |2|     96.7005| |      0.0044|0.5348| |0.0046|  27.74|  65.47| -10.02|   2.16|   3.97| 5.0|2000A&AS..145..215P                                |Details
+28.24753|002.25067|   5|N|00 09 00.16|+28 14 51.1|     | 6.520|V|      | |A4Vm            |          |HIP 728                      |Simbad|N|1|     34.2601| |            |0.4100| |      |  35.50|       |   6.90|       |       | 2.0|1985JRASC..79...49H                                |Details
+28.24753|002.25067|   5|N|00 09 00.16|+28 14 51.1|     | 6.520|V|      | |A4Vm            |          |HIP 728                      |Simbad|N|3|     34.2624| |      0.0006|0.3200| |0.0038|  37.74|  46.33|  11.35|       |       | 5.0|2010AJ....140.1381F                                |Details
+54.89150|002.67529|   6|N|00 10 42.07|+54 53 29.4|     | 8.960|V| 9.700|V|A6shell         |K3III     |HIP 871                      |Simbad|N|1|     36.5610| |            |0.0000| |      |  27.00|  91.10|  -6.50|       |       | 2.0|1988A&A...207...37A                                |Details
-11.47864|002.85325|   7|N|00 11 24.78|-11 28 43.1|     | 9.300|P|16.800|P|                |          |GCVS WW Cet                  |Simbad|N|1|      0.1758| |            |0.0000| |      | 108.00|       |  47.00|       |       | 1.0|1985AJ.....90.2082T                                |Details
+58.21183|002.90479|   8|N|00 11 37.15|+58 12 42.6|     | 7.080|V|      | |B7II-Ib         |B         |HIP 940                      |Simbad|N|1|     55.9212| |            |0.0400| |      |  87.50|       | -25.60|       |       | 3.0|1978PASP...90..179H                                |Details
+62.04089|003.30304|   9|N|00 13 12.73|+62 02 27.2|     | 6.640|V|      | |A2m             |          |HIP 1063                     |Simbad|N|1|     11.2153| |            |0.2200| |      |  43.80|       | -12.50|       |       | 3.0|1971A&A....14..189A                                |Details
 +8.82097|003.74517|  10|N|00 14 58.84|+08 49 15.5|A    | 6.010|V| 7.620|V|F1IV-V          |F1IV-V    |HIP 1196                     |Simbad|N|1|      0.8417| |            |0.0000| |      |  89.90|  96.80|   2.60|       |       | 3.0|N1959                                              |Details
-52.65114|004.22458|  11| |00 16 53.90|-52 39 04.1|     | 6.840|V|      | |G2V             |          |HIP 1349                     |Simbad| |1|    411.4490| |            |0.5700| |      |  13.90|       | -14.30|       |       | 3.0|1970MNRAS.147..355B                                |Details
+51.43308|004.42942|  12|N|00 17 43.06|+51 25 59.1|     | 6.090|V| 6.240|V|O9III           |O9III     |HIP 1415                     |Simbad|N|1|      3.5236| |            |0.0400| |      | 223.40| 174.80| -31.10|       |       | 4.0|1959ApJS....4..157A                                |Details
-71.91578|004.33962|  13|N|00 17 21.51|-71 54 56.8|     | 9.950|V|10.430|V|F2              |          |HIP 1387                     |Simbad|N|1|      0.5948| |            |0.0000| |      |  88.50| 250.00|  20.60|       |       | 3.0|1986MNRAS.223..581H                                |Details
+61.72706|004.57392|  14|N|00 18 17.74|+61 43 37.4|     | 7.630|V|      | |B0-B0.5Ib       |B0-B0.5Ib |HIP 1466                     |Simbad|N|1|     20.2819| |            |0.0500| |      | 113.70| 116.60| -35.80|       |       | 3.0|1986PDAO...16..193H                                |Details
+59.13906|004.82808|  15|N|00 19 18.74|+59 08 20.6|     | 7.220|V| 8.180|V|B9V             |          |HIP 1550                     |Simbad|N|1|      1.8127| |            |0.0000| |      |  87.90|       |   0.50|       |       | 3.0|1922PDAO....2..141P                                |Details
